District_Name,Level,Name,Total/Rural/Urban,No of Households,Total Population Person,Total Worker Population Person,Main Cultivator Population Person,Main Agricultural Labourers Population Person,Main Household Industries Population Person,Main Other Workers Population Person,Marginal Cultivator Population Person,Marginal Agriculture Labourers Population Person,Marginal Household Industries Population Person,Marginal Other Workers Population Person,Non Working Population Person
Nagpur,VILLAGE,Nanda (shinde),Rural,108,480,284,38,216,1,6,4,18,1,0,196
Nagpur,VILLAGE,Mhasora,Rural,397,1732,1003,373,465,1,126,12,15,0,11,729
Nagpur,VILLAGE,Khedi Gowargondi,Rural,349,1455,735,221,463,1,18,10,18,1,3,720
Nagpur,VILLAGE,Mannath,Rural,201,753,472,107,251,0,9,25,77,0,3,281
Nagpur,VILLAGE,Chorkhairi,Rural,65,258,177,54,101,0,14,1,6,0,1,81
Nagpur,VILLAGE,Pipla (kh),Rural,136,620,387,224,136,0,24,1,1,0,1,233
Nagpur,VILLAGE,Shemda,Rural,165,776,413,153,217,1,15,14,13,0,0,363
Nagpur,VILLAGE,Khapri,Rural,24,101,60,16,37,0,7,0,0,0,0,41
Nagpur,VILLAGE,Umari,Rural,177,774,380,151,190,3,33,2,1,0,0,394
Nagpur,VILLAGE,Shindi (Umari),Rural,349,1594,933,391,473,8,38,7,15,1,0,661
Nagpur,VILLAGE,Junona (Fuke),Rural,141,532,295,56,117,0,67,7,40,0,8,237
Nagpur,VILLAGE,Sawargaon,Rural,1806,8037,3612,1099,1826,64,474,27,86,0,36,4425
Nagpur,VILLAGE,Sipikhapa,Rural,0,0,0,0,0,0,0,0,0,0,0,0
Nagpur,VILLAGE,Ambola,Rural,121,555,362,158,195,0,4,1,4,0,0,193
Nagpur,VILLAGE,Khandala[Bk],Rural,299,1249,659,138,247,14,43,35,157,3,22,590
Nagpur,VILLAGE,Singarkheda,Rural,256,1105,586,353,167,4,37,8,6,0,11,519
Nagpur,VILLAGE,Malapur,Rural,209,897,509,115,373,2,14,2,3,0,0,388
Nagpur,VILLAGE,Borkhedi (Theke),Rural,2,5,5,5,0,0,0,0,0,0,0,0
Nagpur,VILLAGE,Lohgad (Theke),Rural,2,8,6,6,0,0,0,0,0,0,0,2
Nagpur,VILLAGE,Lohgad(Mal],Rural,1,2,2,2,0,0,0,0,0,0,0,0
Nagpur,VILLAGE,Borkhedi(Mal),Rural,0,0,0,0,0,0,0,0,0,0,0,0
Nagpur,VILLAGE,Khutkheri,Rural,7,33,17,6,10,0,1,0,0,0,0,16
Nagpur,VILLAGE,Pipla (kewalram),Rural,510,2131,1163,287,639,30,91,17,97,2,0,968
Nagpur,VILLAGE,Mohgaon (Bhadade),Rural,480,2184,1332,466,621,6,71,88,73,1,6,852
Nagpur,VILLAGE,Thugaon (Nipani),Rural,226,938,730,337,179,0,13,112,85,0,4,208
Nagpur,VILLAGE,Tinkheda,Rural,432,1748,937,397,448,15,64,0,11,2,0,811
Nagpur,VILLAGE,Wadgaon (Umari),Rural,228,1001,614,153,330,3,74,4,22,5,23,387
Nagpur,VILLAGE,Pimpalgaon Raut,Rural,213,799,550,230,195,5,30,48,35,1,6,249
Nagpur,VILLAGE,Bhidhnur,Rural,744,3224,1726,437,763,24,178,44,254,10,16,1498
Nagpur,VILLAGE,Parsodi [Dixit],Rural,206,918,522,67,59,4,31,91,265,0,5,396
Nagpur,VILLAGE,Nababpur,Rural,0,0,0,0,0,0,0,0,0,0,0,0
Nagpur,VILLAGE,Wiwara,Rural,157,635,405,255,133,0,13,2,2,0,0,230
Nagpur,VILLAGE,Khushalpur,Rural,30,122,57,48,3,0,2,2,2,0,0,65
Nagpur,VILLAGE,Babulkheda,Rural,17,31,26,0,1,0,25,0,0,0,0,5
Nagpur,VILLAGE,Thaturwada,Rural,230,935,486,74,375,2,17,3,3,4,8,449
Nagpur,VILLAGE,Warjali,Rural,3,12,6,2,4,0,0,0,0,0,0,6
Nagpur,VILLAGE,Narayanpur,Rural,2,2,2,1,0,0,1,0,0,0,0,0
Nagpur,VILLAGE,Naigaon (Dhote),Rural,64,280,140,55,43,0,15,19,8,0,0,140
Nagpur,VILLAGE,Rohana,Rural,490,2045,1011,406,520,0,53,9,20,0,3,1034
Nagpur,VILLAGE,Indarwada,Rural,142,553,284,73,139,1,64,0,4,1,2,269
Nagpur,VILLAGE,Panwadi,Rural,57,256,141,55,55,0,3,16,12,0,0,115
Nagpur,VILLAGE,Maiwadi,Rural,254,1179,713,522,122,2,32,16,14,2,3,466
Nagpur,VILLAGE,Jamgaon Kh,Rural,180,832,488,258,186,4,22,8,3,0,7,344
Nagpur,VILLAGE,Jamgaon Bk,Rural,277,1185,662,167,420,10,43,1,3,5,13,523
Nagpur,VILLAGE,Ranwadi,Rural,105,434,233,59,96,0,10,25,42,0,1,201
Nagpur,VILLAGE,Ambada,Rural,0,0,0,0,0,0,0,0,0,0,0,0
Nagpur,VILLAGE,Khaprikene,Rural,338,1575,689,110,511,0,39,3,25,0,1,886
Nagpur,VILLAGE,Kakaddara,Rural,0,0,0,0,0,0,0,0,0,0,0,0
Nagpur,VILLAGE,Kukadi,Rural,0,0,0,0,0,0,0,0,0,0,0,0
Nagpur,VILLAGE,Khapa,Rural,345,1900,890,157,270,3,11,176,265,2,6,1010
